
 At t1| R3:0| W1:No-Trans| R0:0| R2:0| R1:0| W0:No-Trans| 

 At t2| R3:0| W1:No-Trans| R0:0| R2:0| R1:0| W0:Trans-Started:0:0| 

 At t3| R3:0| W1:Trans-Started:0:1| R0:0| R2:0| R1:0| W0:Trans-Started:0:1| 

 At t4| R3:0| W1:Trans-Started:0:1| R0:0| R2:0| R1:0| W0:Trans-Started:0:1| 

 At t5| R3:0| W1:Trans-Started:0:1| R0:0| R2:0| R1:0| W0:Trans-Committed:0:1| 

 At t6| R3:1| W1:Trans-Started:0:1| R0:1| R2:0| R1:0| W0:No-Trans| 

 At t7| R3:1| W1:Trans-Started:0:1| R0:1| R2:1| R1:0| W0:Trans-Started:1:2| 

 At t8| R3:1| W1:Trans-Aborted:0:1| R0:1| R2:1| R1:2| W0:Trans-Committed:1:2| 

 At t9| R3:1| W1:Trans-Aborted:0:1| R0:1| R2:1| R1:2| W0:No-Trans| 

 At t10| R3:1| W1:No-Trans| R0:1| R2:1| R1:2| W0:No-Trans| 

 At t11| R3:1| W1:No-Trans| R0:1| R2:1| R1:2| W0:Trans-Started:2:3| 

 At t12| R3:2| W1:Trans-Started:2:3| R0:2| R2:2| R1:2| W0:Trans-Started:2:3| 

 At t13| R3:2| W1:Trans-Started:2:3| R0:2| R2:2| R1:2| W0:Trans-Committed:2:3| 

 At t14| R3:2| W1:Trans-Aborted:2:3| R0:2| R2:2| R1:3| W0:Trans-Committed:2:3| 

 At t15| R3:2| W1:No-Trans| R0:2| R2:2| R1:3| W0:Trans-Committed:2:3| 

 At t16| R3:2| W1:No-Trans| R0:2| R2:2| R1:3| W0:No-Trans| 

 At t17| R3:3| W1:No-Trans| R0:2| R2:2| R1:3| W0:Trans-Started:3:4| 

 At t18| R3:3| W1:Trans-Started:3:4| R0:3| R2:3| R1:3| W0:Trans-Started:3:4| 

 At t19| R3:3| W1:Trans-Started:3:4| R0:3| R2:3| R1:3| W0:Trans-Committed:3:4| 

 At t20| R3:3| W1:Trans-Aborted:3:4| R0:3| R2:3| R1:3| W0:Trans-Committed:3:4| 

 At t21| R3:3| W1:Trans-Aborted:3:4| R0:3| R2:3| R1:3| W0:No-Trans| 

 At t22| R3:4| W1:No-Trans| R0:4| R2:3| R1:3| W0:No-Trans| 

 At t23| R3:4| W1:No-Trans| R0:4| R2:3| R1:3| W0:Trans-Started:4:5| 

 At t24| R3:4| W1:Trans-Started:4:5| R0:4| R2:4| R1:3| W0:Trans-Started:4:5| 

 At t25| R3:4| W1:Trans-Started:4:5| R0:4| R2:4| R1:3| W0:Trans-Committed:4:5| 

 At t26| R3:4| W1:Trans-Aborted:4:5| R0:4| R2:4| R1:5| W0:Trans-Committed:4:5| 

 At t27| R3:4| W1:Trans-Aborted:4:5| R0:4| R2:4| R1:5| W0:No-Trans| 

 At t28| R3:5| W1:No-Trans| R0:4| R2:4| R1:5| W0:No-Trans| 

 At t29| R3:5| W1:Trans-Started:5:6| R0:5| R2:4| R1:5| W0:No-Trans| 

 At t30| R3:5| W1:Trans-Started:5:6| R0:5| R2:5| R1:5| W0:Trans-Started:5:6| 

 At t31| R3:5| W1:Trans-Started:5:6| R0:5| R2:5| R1:5| W0:Trans-Committed:5:6| 

 At t32| R3:5| W1:Trans-Aborted:5:6| R0:5| R2:5| R1:5| W0:Trans-Committed:5:6| 

 At t33| R3:5| W1:Trans-Aborted:5:6| R0:5| R2:5| R1:5| W0:No-Trans| 

 At t34| R3:6| W1:No-Trans| R0:6| R2:5| R1:5| W0:No-Trans| 

 At t35| R3:6| W1:No-Trans| R0:6| R2:5| R1:5| W0:Trans-Started:6:7| 

 At t36| R3:6| W1:Trans-Started:6:7| R0:6| R2:5| R1:5| W0:Trans-Started:6:7| 

 At t37| R3:6| W1:Trans-Started:6:7| R0:6| R2:5| R1:5| W0:Trans-Committed:6:7| 

 At t38| R3:6| W1:Trans-Aborted:6:7| R0:6| R2:7| R1:7| W0:Trans-Committed:6:7| 

 At t39| R3:6| W1:Trans-Aborted:6:7| R0:6| R2:7| R1:7| W0:No-Trans| 

 At t40| R3:6| W1:No-Trans| R0:7| R2:7| R1:7| W0:No-Trans| 

 At t41| R3:6| W1:No-Trans| R0:7| R2:7| R1:7| W0:Trans-Started:7:8| 

 At t42| R3:7| W1:Trans-Started:7:8| R0:7| R2:7| R1:7| W0:Trans-Started:7:8| 

 At t43| R3:7| W1:Trans-Started:7:8| R0:7| R2:7| R1:7| W0:Trans-Committed:7:8| 

 At t44| R3:7| W1:Trans-Aborted:7:8| R0:7| R2:7| R1:7| W0:Trans-Committed:7:8| 

 At t45| R3:7| W1:No-Trans| R0:7| R2:7| R1:7| W0:Trans-Committed:7:8| 

 At t46| R3:7| W1:No-Trans| R0:8| R2:7| R1:7| W0:No-Trans| 

 At t47| R3:7| W1:No-Trans| R0:8| R2:7| R1:7| W0:Trans-Started:8:9| 

 At t48| R3:7| W1:Trans-Started:8:9| R0:8| R2:8| R1:7| W0:Trans-Started:8:9| 

 At t49| R3:8| W1:Trans-Started:8:9| R0:8| R2:8| R1:7| W0:Trans-Committed:8:9| 

 At t50| R3:8| W1:Trans-Started:8:9| R0:8| R2:8| R1:9| W0:No-Trans| 

 At t51| R3:8| W1:Trans-Aborted:8:9| R0:9| R2:8| R1:9| W0:No-Trans| 

 At t52| R3:9| W1:Trans-Aborted:8:9| R0:9| R2:9| R1:9| W0:Trans-Started:9:10| 

 At t53| R3:9| W1:No-Trans| R0:9| R2:9| R1:9| W0:Trans-Started:9:10| 

 At t54| R3:9| W1:No-Trans| R0:9| R2:9| R1:9| W0:Trans-Committed:9:10| 

 At t55| R3:9| W1:Trans-Started:10:11| R0:10| R2:9| R1:9| W0:Trans-Committed:9:10| 

 At t56| R3:9| W1:Trans-Started:10:11| R0:10| R2:9| R1:9| W0:No-Trans| 

 At t57| R3:10| W1:Trans-Committed:10:11| R0:10| R2:9| R1:9| W0:No-Trans| 

 At t58| R3:10| W1:Trans-Committed:10:11| R0:10| R2:11| R1:11| W0:Trans-Started:11:12| 

 At t59| R3:10| W1:No-Trans| R0:10| R2:11| R1:11| W0:Trans-Started:11:12| 

 At t60| R3:10| W1:No-Trans| R0:10| R2:11| R1:11| W0:Trans-Committed:11:12| 

 At t61| R3:10| W1:Trans-Started:12:13| R0:12| R2:12| R1:11| W0:Trans-Committed:11:12| 

 At t62| R3:10| W1:Trans-Committed:12:13| R0:12| R2:12| R1:11| W0:Trans-Committed:11:12| 

 At t63| R3:10| W1:Trans-Committed:12:13| R0:12| R2:12| R1:11| W0:No-Trans| 

 At t64| R3:13| W1:No-Trans| R0:12| R2:12| R1:13| W0:No-Trans| 

 At t65| R3:13| W1:No-Trans| R0:12| R2:12| R1:13| W0:Trans-Started:13:14| 

 At t66| R3:13| W1:Trans-Started:13:14| R0:12| R2:12| R1:13| W0:Trans-Started:13:14| 

 At t67| R3:13| W1:Trans-Started:13:14| R0:13| R2:12| R1:13| W0:Trans-Committed:13:14| 

 At t68| R3:13| W1:Trans-Started:13:14| R0:13| R2:14| R1:13| W0:No-Trans| 

 At t69| R3:13| W1:Trans-Aborted:13:14| R0:13| R2:14| R1:14| W0:No-Trans| 

 At t70| R3:14| W1:Trans-Aborted:13:14| R0:13| R2:14| R1:14| W0:Trans-Started:14:15| 

 At t71| R3:14| W1:Trans-Aborted:13:14| R0:14| R2:14| R1:14| W0:Trans-Committed:14:15| 

 At t72| R3:14| W1:No-Trans| R0:14| R2:15| R1:14| W0:Trans-Committed:14:15| 

 At t73| R3:14| W1:No-Trans| R0:14| R2:15| R1:14| W0:No-Trans| 

 At t74| R3:14| W1:Trans-Started:15:16| R0:14| R2:15| R1:14| W0:No-Trans| 

 At t75| R3:14| W1:Trans-Started:15:16| R0:14| R2:15| R1:14| W0:Trans-Started:15:16| 

 At t76| R3:14| W1:Trans-Committed:15:16| R0:16| R2:16| R1:16| W0:Trans-Started:15:16| 

 At t77| R3:16| W1:Trans-Committed:15:16| R0:16| R2:16| R1:16| W0:Trans-Aborted:15:16| 

 At t78| R3:16| W1:No-Trans| R0:16| R2:16| R1:16| W0:Trans-Aborted:15:16| 

 At t79| R3:16| W1:No-Trans| R0:16| R2:16| R1:16| W0:No-Trans| 

 At t80| R3:16| W1:No-Trans| R0:16| R2:16| R1:16| W0:Trans-Started:16:17| 

 At t81| R3:16| W1:Trans-Started:16:17| R0:16| R2:16| R1:16| W0:Trans-Started:16:17| 

 At t82| R3:16| W1:Trans-Started:16:17| R0:16| R2:16| R1:16| W0:Trans-Committed:16:17| 

 At t83| R3:17| W1:Trans-Started:16:17| R0:16| R2:16| R1:16| W0:No-Trans| 

 At t84| R3:17| W1:Trans-Aborted:16:17| R0:17| R2:16| R1:16| W0:No-Trans| 

 At t85| R3:17| W1:Trans-Aborted:16:17| R0:17| R2:16| R1:16| W0:Trans-Started:17:18| 

 At t86| R3:17| W1:Trans-Aborted:16:17| R0:17| R2:16| R1:17| W0:Trans-Committed:17:18| 

 At t87| R3:17| W1:No-Trans| R0:17| R2:16| R1:17| W0:Trans-Committed:17:18| 

 At t88| R3:18| W1:No-Trans| R0:18| R2:18| R1:17| W0:No-Trans| 

 At t89| R3:18| W1:No-Trans| R0:18| R2:18| R1:17| W0:Trans-Started:18:19| 

 At t90| R3:18| W1:Trans-Started:18:19| R0:18| R2:18| R1:17| W0:Trans-Started:18:19| 

 At t91| R3:18| W1:Trans-Started:18:19| R0:18| R2:18| R1:17| W0:Trans-Committed:18:19| 

 At t92| R3:18| W1:Trans-Started:18:19| R0:18| R2:18| R1:19| W0:No-Trans| 

 At t93| R3:19| W1:Trans-Aborted:18:19| R0:19| R2:19| R1:19| W0:No-Trans| 

 At t94| R3:19| W1:Trans-Aborted:18:19| R0:19| R2:19| R1:19| W0:Trans-Started:19:20| 

 At t95| R3:19| W1:No-Trans| R0:19| R2:19| R1:19| W0:Trans-Started:19:20| 

 At t96| R3:19| W1:No-Trans| R0:19| R2:19| R1:19| W0:Trans-Committed:19:20| 

 At t97| R3:19| W1:Trans-Started:20:21| R0:19| R2:19| R1:19| W0:Trans-Committed:19:20| 

 At t98| R3:19| W1:Trans-Started:20:21| R0:19| R2:19| R1:19| W0:No-Trans| 

 At t99| R3:21| W1:Trans-Committed:20:21| R0:21| R2:21| R1:20| W0:No-Trans| 

 At t100| R3:21| W1:Trans-Committed:20:21| R0:21| R2:21| R1:20| W0:Trans-Started:21:22| 

 At t101| R3:21| W1:No-Trans| R0:21| R2:21| R1:20| W0:Trans-Started:21:22| 

 At t102| R3:21| W1:No-Trans| R0:21| R2:21| R1:20| W0:Trans-Committed:21:22| 

